5000	2000	37408 71st Ave.	Lake City	Mongoose	CA	U.S.A.	46700-4193	4888057059x9081
5001	2000	747 4th St.	Metropolis	Island	DC	U.S.A.	47900-4146	5489385841x9143
5002	2000	039 46th Ave.	Ridgevile	Jack	MI	U.S.A.	24340-7371	2667875390x3682
5003	2001	56 3rd Ave.	Ridgevile	Diamond	DC	U.S.A.	47900-4292	5484837368x68423
5004	2002	170 91st St.	St. John	Day	MN	U.S.A.	26780-4518	3783804664x071
5005	2002	363 11th St.	Venice	Dolphin	CA	U.S.A.	46020-8236	4729972423x255
5006	2003	77750 57th Ave.	Hampton	Brown	DE	U.S.A.	37980-7463	4287408061x43299
5007	2003	426 Pike Dr.	Forest Lake	Strange	OH	U.S.A.	10420-3906	1-(800)6945407x189
5008	2003	75 76th St.	Apple River	Tiger	LA	U.S.A.	14220-0975	4069451553x26965
5009	2004	5296 63rd St.	Apple River	Pisces	NV	U.S.A.	29820-4494	1-(800)8466526x25337
5010	2004	0215 41st St.	Apple River	Sagittarius	CA	U.S.A.	40140-4072	1-(800)8219805x4730
5011	2004	50448 60th Ave.	Little Forest	Pisces	TN	U.S.A.	17420-2332	1746093832x4098
5012	2005	69 28th St.	Brookdale	Spade	LA	U.S.A.	43340-8510	1-(800)2061309x105
5013	2006	8014 3rd St.	Harold	Blue	SC	U.S.A.	35140-7923	1928853422x245
5014	2006	315 33rd St.	Applewood	Pluto	PA	U.S.A.	49660-9740	5663447515x171
5015	2006	11 27th Ave.	St. John	Taurus	KY	U.S.A.	18340-5226	2024976487x99955
5016	2007	7787 82nd Ave.	Lakedale	Pisces	MD	U.S.A.	41540-3430	1-(800)6751909x6815
5017	2007	30290 4th St.	Lakedale	Rose	WI	U.S.A.	33340-7849	1-(800)7109541x0567
5018	2007	4125 Green St.	Littleton	Bear	IN	U.S.A.	16980-6439	1767400221x1107
5019	2007	05280 71st Ave.	Maple Lake	Bear	MI	U.S.A.	26100-7443	2667674308x0995
5020	2008	46867 23rd St.	Elmdale	Joker	OH	U.S.A.	24820-2734	2122632049x30900
5021	2008	6994 35th Ave.	Hampton	Zebra	CT	U.S.A.	25540-0724	1-(800)7125008x6289
5022	2008	18197 Verdi Lane	Cherry River	Heart	TX	U.S.A.	28780-2144	2049445975x94490
5023	2008	802 40th St.	Jackson	Club	IL	U.S.A.	16020-3686	1643097833x3228
5024	2009	22253 34th St.	Metropolis	Simple	MA	U.S.A.	14460-6282	1482413995x4615
5025	2010	2800 19th Ave.	Oaktown	Zebra	NY	U.S.A.	24100-4238	1045688024x5469
5026	2010	2959 56th St.	Rosewood	Brown	TX	U.S.A.	15180-2951	1-(800)7589074x6150
5027	2011	98484 21st Ave.	Rome	Worm	AL	U.S.A.	13820-5633	1422851167x9610
5028	2011	0037 13rd St.	Maple Lake	Purple	VA	U.S.A.	28700-0259	3043419713x26226
5029	2011	719 54th Ave.	Rivertown	Joker	NY	U.S.A.	10580-1223	1042796954x371
5030	2011	21775 51st St.	River City	Day	SC	U.S.A.	17900-0759	1-(800)4722056x4834
5031	2012	328 99th Ave.	Kerry	Spade	LA	U.S.A.	22860-4746	2568580171x3435
5032	2013	2543 Maroon St.	Oaktown	Bear	MI	U.S.A.	24340-2463	2663854016x131
5033	2014	5574 23rd St.	Stamford	Wombat	CT	U.S.A.	14860-1238	4089822952x93625
5034	2014	69 Beige St.	Lilly View	Brown	CA	U.S.A.	42220-1345	4884920590x858
5035	2014	2676 32nd Ave.	Forest Lake	Blue	CA	U.S.A.	31460-9834	2602188176x35964
5036	2014	5140 92nd Ave.	Lake City	Deer	WI	U.S.A.	12660-6968	3582079062x5788
5037	2015	412 68th St.	Pine Lake	Bear	MN	U.S.A.	33460-9944	3783113342x071
5038	2016	49 80th Ave.	St. John	Charm	NC	U.S.A.	49180-0671	2682797856x86400
5039	2017	238 98th St.	Derry	Purple	VA	U.S.A.	14980-3484	3046181263x85765
5040	2018	52680 30th Ave.	Ridgevile	Pink	CA	U.S.A.	37100-2907	1-(800)4384745x73470
5041	2018	939 97th St.	Pine River	Sagittarius	VA	U.S.A.	14980-5389	3047286774x786
5042	2019	398 78th Ave.	Mountain View	Worm	IL	U.S.A.	16020-4370	1642163776x08503
5043	2019	0971 52nd St.	Forest Lake	Shark	NC	U.S.A.	43140-0151	1727976440x134
5044	2020	2123 11th St.	Littleton	Grey	CA	U.S.A.	41860-8425	4889287030x7268
5045	2020	50805 Offenbach St.	Johnsonville	Night	OH	U.S.A.	34540-5101	1988894254x413
5046	2021	47 69th Ave.	Apple Lake	Day	NY	U.S.A.	10580-8845	1-(800)7609650x7987
5047	2022	44048 24th Ave.	Littleville	Sagittarius	MA	U.S.A.	14460-5314	1486807996x182
5048	2023	34797 Offenbach St.	Largeville	Monkey	NY	U.S.A.	35620-1173	4087602644x5830
5049	2024	785 63rd St.	Brighton	Diamond	NY	U.S.A.	24100-2160	1042354381x6798
5050	2025	651 Rubinstein Rd.	Derry	Strange	IN	U.S.A.	16980-6239	1764618481x958
5051	2026	0139 3rd Ave.	Paris	Taurus	KY	U.S.A.	30460-0829	1-(800)3008672x84521
5052	2027	64 Verdi Lane	Lakedale	Ten	NC	U.S.A.	24660-8428	2686836050x8310
5053	2027	08559 98th Ave.	Birch City	Mongoose	NY	U.S.A.	10580-8044	1045950491x2277
5054	2028	47358 Birch Blvd.	Largeville	Zebra	NC	U.S.A.	41580-7063	1724332271x00831
5055	2028	43 81st Ave.	Mountain View	Bear	MI	U.S.A.	29620-0820	3304139749x67055
5056	2029	97 86th St.	Pine River	Zebra	ME	U.S.A.	30340-8888	4385865974x2990
5057	2030	28288 88th St.	Maple Field	Taurus	WA	U.S.A.	36500-0306	5009512144x744
5058	2030	4714 38th Ave.	Minneapolis	Brown	MN	U.S.A.	33460-1673	3783617735x79283
5059	2031	919 66th St.	River View	Queen	MI	U.S.A.	11460-5324	1-(800)8770996x787
5060	2032	38246 14th St.	Salisbury	Pluto	NC	U.S.A.	41580-7948	1-(800)9293674x10533
5061	2033	5637 Blue Spruce Dr.	Maple Lake	Pink	GA	U.S.A.	25980-5736	4968808481x10147
5062	2033	9081 97th St.	Overbrook	Island	CO	U.S.A.	19740-4502	2165626004x35588
5063	2034	89 1st St.	Lilly View	Rose	NC	U.S.A.	44380-8020	1726359505x587
5064	2035	53 Liszt Lane	Largeville	Green	KY	U.S.A.	18340-3157	2023291629x38002
5065	2036	64557 7th Ave.	Rivertown	Tiger	NJ	U.S.A.	47220-9113	4289005638x15816
5066	2036	122 Maple Ct.	Brookdale	Pisces	CA	U.S.A.	46020-4918	4729615926x44238
5067	2036	014 Liszt Lane	Martyburg	Zebra	GA	U.S.A.	12060-9647	1228777046x4735
5068	2037	1677 29th Ave.	Mediumville	Ferret	KS	U.S.A.	48620-7079	5562503926x1526
5069	2037	13109 90th St.	London	Saturn	TX	U.S.A.	32220-0952	3469714292x747
5070	2038	8946 25th Ave.	Brookdale	Ten	AL	U.S.A.	12220-1535	1-(800)5010310x82378
5071	2038	28 Banana Ave.	Pinewood	Pluto	IL	U.S.A.	23300-2182	4667908345x75038
5072	2039	55 78th Ave.	Hamburg	Spade	PA	U.S.A.	30260-4173	5265981687x156
5073	2039	69792 57th Ave.	Oak Lake	Shark	TN	U.S.A.	29220-7871	3146785801x64383
5074	2040	42 33rd Ave.	North Vernon	Monkey	IN	U.S.A.	35860-2718	2945537126x0240
5075	2040	67129 38th St.	Martyburg	Green	NC	U.S.A.	16740-7976	1726700693x9360
5076	2040	82463 29th St.	Rochester	Ten	NY	U.S.A.	40380-9672	1-(800)5981904x61965
5077	2041	72 80th St.	Harrisville	Aries	TN	U.S.A.	34980-0172	4005231777x80664
5078	2042	654 14th Ave.	Apple Lake	Spade	MI	U.S.A.	10880-6306	2669344178x810
5079	2042	604 Offenbach St.	Johnsonville	Purple	MI	U.S.A.	19820-7575	2203058900x244
5080	2042	45 41st St.	Oak Lake	Wombat	CA	U.S.A.	40900-6840	1-(800)3615953x567
5081	2042	78795 65th St.	Pine Lake	Queen	AR	U.S.A.	42620-7756	3405126592x0311
5082	2042	271 Mauve St.	Pine City	Joker	TN	U.S.A.	34980-3976	4006554034x957
5083	2042	748 Mozart St.	Lilly View	Brown	SC	U.S.A.	34820-4776	1-(800)2741706x2196
5084	2043	799 78th Ave.	Maple Lake	Green	NM	U.S.A.	38780-5861	1888650790x3190
5085	2043	538 63rd Ave.	Applewood	Pink	CA	U.S.A.	31100-3684	3485771414x42812
5086	2043	84 35th Ave.	Little Rock	King	KY	U.S.A.	21060-7725	1-(800)7024709x48424
5087	2044	00691 7th Ave.	Kerry	Ten	NM	U.S.A.	21580-6644	4923986580x667
5088	2044	64224 32nd Ave.	Largeville	Orange	NJ	U.S.A.	47220-4310	4287820418x93631
5089	2044	0209 38th Ave.	Mountain View	Pisces	CA	U.S.A.	40900-1439	4727669956x724
5090	2045	46 98th St.	Pine River	Day	IL	U.S.A.	28100-6182	1-(800)8791483x7103
5091	2045	404 9th Ave.	Rosewood	Purple	OH	U.S.A.	11780-1754	1-(800)5133163x4199
5092	2045	52002 92nd St.	Washington	Sagittarius	OH	U.S.A.	47860-1934	1-(800)2504356x212
5093	2045	220 84th Ave.	Pegasus	Grey	OH	U.S.A.	17060-7297	1983480088x579
5094	2045	30799 Blue St.	Maple Lake	Gorilla	NJ	U.S.A.	45940-6207	4089020413x24872
5095	2045	5523 2nd Ave.	Wormwood	Ten	NY	U.S.A.	10580-9915	1049624035x327
5096	2045	50 92nd Ave.	Laketown	Spade	MO	U.S.A.	28140-6267	3122397351x04772
5097	2046	0323 35th Ave.	Minneapolis	Brown	MN	U.S.A.	33460-7046	1-(800)5406599x76620
5098	2046	2603 Schumann St.	River View	Tiger	NC	U.S.A.	49180-8622	2689263544x04808
5099	2047	016 2nd St.	Rivertown	Saturn	MS	U.S.A.	37700-7718	2748933051x74558
5100	2047	3958 59th St.	Paris	Night	TN	U.S.A.	35460-3830	3927429188x65404
5101	2048	7736 43rd St.	Ridgevile	Neptune	OH	U.S.A.	45780-6573	5349707018x4651
5102	2049	58 1st Ave.	Sunnyville	Green	NY	U.S.A.	18660-1888	2962724019x92703
5103	2050	964 29th St.	Sunnydale	Spade	WV	U.S.A.	13220-8342	1387302148x211
5104	2051	0201 Beethoven St.	Hampton	Purple	MN	U.S.A.	26780-0526	3785137495x4126
5105	2051	9314 10th Ave.	Lake City	Day	IA	U.S.A.	35500-2009	2185280665x05338
5106	2051	91 52nd Ave.	Largeville	Monkey	NY	U.S.A.	11220-2166	1049374037x952
